,category_code,p_code,p_group,kind_name_new,rank,unit,price
0,AW_A00080,AW_A00080,쌀,쌀(일반계)(20kg),상품,20kg,"44,500"
1,AW_A00081,AW_A00081,쌀,쌀(일반계)(20kg),중품,20kg,"41,000"
2,AW_A00112,AW_A00112,찹쌀,찹쌀(일반계)(40kg),중품,40kg,"97,800"
3,AW_A00137,AW_A00137,콩,흰 콩(국산)(40kg),상품,40kg,"240,000"
4,AW_A00138,AW_A00138,콩,흰 콩(수입)(35kg),중품,35kg,"122,000"
5,AW_A00060,AW_A00060,팥,붉은 팥(국산)(40kg),상품,40kg,"360,000"
6,AW_A00061,AW_A00061,팥,붉은 팥(수입)(40kg),중품,40kg,"266,000"
7,AW_A00022,AW_A00022,녹두,녹두(국산)(40kg),상품,40kg,"736,000"
8,AW_A00023,AW_A00023,녹두,녹두(수입)(40kg),중품,40kg,"216,000"
9,AW_A00041,AW_A00041,메밀,메밀(수입)(1kg),중품,1kg,"4,500"
10,AW_A00011,AW_A00011,고구마,고구마(밤)(10kg),상품,10kg,"32,300"
11,AW_A00012,AW_A00012,고구마,고구마(밤)(10kg),중품,10kg,"26,300"
12,AW_A00002,AW_A00002,감자,감자(수미)(20kg),상품,20kg,"42,300"
13,AW_A00003,AW_A00003,감자,감자(수미)(20kg),중품,20kg,"38,300"
14,AW_A00057,AW_A00057,배추,배추(봄)(10kg),상품,10kg,"11,400"
15,AW_A00058,AW_A00058,배추,배추(봄)(10kg),중품,10kg,"10,400"
16,AW_A00086,AW_A00086,양배추,양배추(8kg),상품,8kg,"7,000"
17,AW_A00087,AW_A00087,양배추,양배추(8kg),중품,8kg,"6,500"
18,AW_A00078,AW_A00078,시금치,시금치(4kg),상품,4kg,"21,700"
19,AW_A00079,AW_A00079,시금치,시금치(4kg),중품,4kg,"19,700"
20,AW_A00066,AW_A00066,상추,상추(적)(4kg),상품,4kg,"29,000"
21,AW_A00067,AW_A00067,상추,상추(적)(4kg),중품,4kg,"27,000"
22,AW_A00068,AW_A00068,상추,상추(청)(4kg),상품,4kg,"26,500"
23,AW_A00069,AW_A00069,상추,상추(청)(4kg),중품,4kg,"23,500"
24,AW_A00090,AW_A00090,얼갈이배추,얼갈이배추(4kg),상품,4kg,"11,200"
25,AW_A00091,AW_A00091,얼갈이배추,얼갈이배추(4kg),중품,4kg,"10,200"
26,AW_A00076,AW_A00076,수박,수박(1개),상품,1개,"18,500"
27,AW_A00077,AW_A00077,수박,수박(1개),중품,1개,"13,500"
28,AW_A00110,AW_A00110,참외,참외(10kg),상품,10kg,"38,000"
29,AW_A00111,AW_A00111,참외,참외(10kg),중품,10kg,"33,000"
30,AW_A00098,AW_A00098,오이,오이(다다기계통)(100개),상품,100개,"40,200"
31,AW_A00099,AW_A00099,오이,오이(다다기계통)(100개),중품,100개,"35,000"
32,AW_A00100,AW_A00100,오이,오이(취청)(50개),상품,50개,"22,200"
33,AW_A00101,AW_A00101,오이,오이(취청)(50개),중품,50개,"17,700"
34,AW_A00084,AW_A00084,호박,애호박(20개),상품,20개,"24,200"
35,AW_A00085,AW_A00085,호박,애호박(20개),중품,20개,"22,200"
36,AW_A00135,AW_A00135,호박,호박(쥬키니)(10kg),상품,10kg,"16,700"
37,AW_A00136,AW_A00136,호박,호박(쥬키니)(10kg),중품,10kg,"14,700"
38,AW_A00115,AW_A00115,토마토,토마토(5kg),상품,5kg,"12,100"
39,AW_A00116,AW_A00116,토마토,토마토(5kg),중품,5kg,"10,100"
40,AW_A00045,AW_A00045,무,무(봄)(20kg),상품,20kg,"14,400"
41,AW_A00046,AW_A00046,무,무(봄)(20kg),중품,20kg,"13,400"
42,AW_A00047,AW_A00047,무,무(월동)(20kg),상품,20kg,
43,AW_A00048,AW_A00048,무,무(월동)(20kg),중품,20kg,
44,AW_A00026,AW_A00026,당근,당근(무세척)(20kg),상품,20kg,"40,000"
45,AW_A00027,AW_A00027,당근,당근(무세척)(20kg),중품,20kg,"38,000"
46,AW_A00028,AW_A00028,당근,당근(세척)(수입),중품,10kg,"10,300"
47,AW_A00092,AW_A00092,열무,열무(4kg),상품,4kg,"19,200"
48,AW_A00093,AW_A00093,열무,열무(4kg),중품,4kg,"18,200"
49,AW_A00006,AW_A00006,건고추,건고추(화건)(30kg),상품,30kg,"600,000"
50,AW_A00007,AW_A00007,건고추,건고추(화건)(30kg),중품,30kg,"550,000"
51,AW_A00004,AW_A00004,건고추,건고추(양건)(30kg),상품,30kg,"750,000"
52,AW_A00005,AW_A00005,건고추,건고추(양건)(30kg),중품,30kg,"700,000"
53,AW_A00123,AW_A00123,풋고추,풋고추(10kg),상품,10kg,"74,500"
54,AW_A00124,AW_A00124,풋고추,풋고추(10kg),중품,10kg,"66,500"
55,AW_A00125,AW_A00125,풋고추,풋고추(꽈리고추)(4kg),상품,4kg,"33,200"
