,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1
0,쌀,111,일반계(20kg),01,상품,04,20kg,2022-06-23,"44,500"
1,쌀,111,일반계(20kg),01,중품,05,20kg,2022-06-23,"41,000"
2,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-06-23,"97,800"
3,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-06-23,"240,000"
4,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-06-23,"122,000"
5,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-06-23,"360,000"
6,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-06-23,"266,000"
7,녹두,143,국산(40kg),00,상품,04,40kg,2022-06-23,"736,000"
8,녹두,143,수입(40kg),01,중품,05,40kg,2022-06-23,"216,000"
9,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,2022-06-23,"4,500"
10,고구마,151,밤(10kg),00,상품,04,10kg,2022-06-23,"32,300"
11,고구마,151,밤(10kg),00,중품,05,10kg,2022-06-23,"26,300"
12,감자,152,수미(20kg),01,상품,04,20kg,2022-06-23,"42,300"
13,감자,152,수미(20kg),01,중품,05,20kg,2022-06-23,"38,300"
14,배추,211,봄(10kg),01,상품,04,10kg,2022-06-23,"11,400"
15,배추,211,봄(10kg),01,중품,05,10kg,2022-06-23,"10,400"
16,양배추,212,양배추(8kg),00,상품,04,8kg,2022-06-23,"7,000"
17,양배추,212,양배추(8kg),00,중품,05,8kg,2022-06-23,"6,500"
18,시금치,213,시금치(4kg),00,상품,04,4kg,2022-06-23,"21,700"
19,시금치,213,시금치(4kg),00,중품,05,4kg,2022-06-23,"19,700"
20,상추,214,적(4kg),01,상품,04,4kg,2022-06-23,"29,000"
21,상추,214,적(4kg),01,중품,05,4kg,2022-06-23,"27,000"
22,상추,214,청(4kg),02,상품,04,4kg,2022-06-23,"26,500"
23,상추,214,청(4kg),02,중품,05,4kg,2022-06-23,"23,500"
24,얼갈이배추,215,얼갈이배추(4kg),00,상품,04,4kg,2022-06-23,"11,200"
25,얼갈이배추,215,얼갈이배추(4kg),00,중품,05,4kg,2022-06-23,"10,200"
26,수박,221,수박(1개),00,상품,04,1개,2022-06-23,"18,500"
27,수박,221,수박(1개),00,중품,05,1개,2022-06-23,"13,500"
28,참외,222,참외(10kg),00,상품,04,10kg,2022-06-23,"38,000"
29,참외,222,참외(10kg),00,중품,05,10kg,2022-06-23,"33,000"
30,오이,223,다다기계통(100개),02,상품,04,100개,2022-06-23,"40,200"
31,오이,223,다다기계통(100개),02,중품,05,100개,2022-06-23,"35,000"
32,오이,223,취청(50개),03,상품,04,50개,2022-06-23,"22,200"
33,오이,223,취청(50개),03,중품,05,50개,2022-06-23,"17,700"
34,호박,224,애호박(20개),01,상품,04,20개,2022-06-23,"24,200"
35,호박,224,애호박(20개),01,중품,05,20개,2022-06-23,"22,200"
36,호박,224,쥬키니(10kg),02,상품,04,10kg,2022-06-23,"16,700"
37,호박,224,쥬키니(10kg),02,중품,05,10kg,2022-06-23,"14,700"
38,토마토,225,토마토(5kg),00,상품,04,5kg,2022-06-23,"12,100"
39,토마토,225,토마토(5kg),00,중품,05,5kg,2022-06-23,"10,100"
40,무,231,봄(20kg),01,상품,04,20kg,2022-06-23,"14,400"
41,무,231,봄(20kg),01,중품,05,20kg,2022-06-23,"13,400"
42,무,231,월동(20kg),06,상품,04,20kg,2022-06-23,-
