,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2
0,쌀,111,일반계(20kg),01,상품,04,20kg,2022-07-01,"44,200",1일전 (06/30),"44,200"
1,쌀,111,일반계(20kg),01,중품,05,20kg,2022-07-01,"41,000",1일전 (06/30),"41,000"
2,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-07-01,"97,800",1일전 (06/30),"97,800"
3,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-07-01,"240,000",1일전 (06/30),"240,000"
4,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-07-01,"122,000",1일전 (06/30),"122,000"
5,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-07-01,"360,000",1일전 (06/30),"360,000"
6,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-07-01,"266,000",1일전 (06/30),"266,000"
7,녹두,143,국산(40kg),00,상품,04,40kg,2022-07-01,"736,000",1일전 (06/30),"736,000"
8,녹두,143,수입(40kg),01,중품,05,40kg,2022-07-01,"216,000",1일전 (06/30),"216,000"
9,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,2022-07-01,"4,500",1일전 (06/30),"4,500"
10,고구마,151,밤(10kg),00,상품,04,10kg,2022-07-01,"33,000",1일전 (06/30),"33,000"
11,고구마,151,밤(10kg),00,중품,05,10kg,2022-07-01,"27,000",1일전 (06/30),"27,000"
12,감자,152,수미(20kg),01,상품,04,20kg,2022-07-01,"42,000",1일전 (06/30),"42,000"
13,감자,152,수미(20kg),01,중품,05,20kg,2022-07-01,"38,000",1일전 (06/30),"38,000"
14,배추,211,봄(10kg),01,상품,04,10kg,2022-07-01,"11,400",1일전 (06/30),"12,000"
15,배추,211,봄(10kg),01,중품,05,10kg,2022-07-01,"10,400",1일전 (06/30),"11,000"
16,양배추,212,양배추(8kg),00,상품,04,8kg,2022-07-01,"8,330",1일전 (06/30),"9,000"
17,양배추,212,양배추(8kg),00,중품,05,8kg,2022-07-01,"7,830",1일전 (06/30),"8,500"
18,시금치,213,시금치(4kg),00,상품,04,4kg,2022-07-01,"25,700",1일전 (06/30),"27,000"
19,시금치,213,시금치(4kg),00,중품,05,4kg,2022-07-01,"23,700",1일전 (06/30),"25,000"
20,상추,214,적(4kg),01,상품,04,4kg,2022-07-01,"52,500",1일전 (06/30),"53,200"
21,상추,214,적(4kg),01,중품,05,4kg,2022-07-01,"50,500",1일전 (06/30),"51,200"
22,상추,214,청(4kg),02,상품,04,4kg,2022-07-01,"51,700",1일전 (06/30),"55,000"
23,상추,214,청(4kg),02,중품,05,4kg,2022-07-01,"49,000",1일전 (06/30),"52,200"
24,얼갈이배추,215,얼갈이배추(4kg),00,상품,04,4kg,2022-07-01,"8,250",1일전 (06/30),"9,750"
25,얼갈이배추,215,얼갈이배추(4kg),00,중품,05,4kg,2022-07-01,"7,250",1일전 (06/30),"8,750"
26,수박,221,수박(1개),00,상품,04,1개,2022-07-01,"18,800",1일전 (06/30),"19,600"
27,수박,221,수박(1개),00,중품,05,1개,2022-07-01,"15,800",1일전 (06/30),"15,800"
28,참외,222,참외(10kg),00,상품,04,10kg,2022-07-01,"34,000",1일전 (06/30),"34,000"
29,참외,222,참외(10kg),00,중품,05,10kg,2022-07-01,"29,000",1일전 (06/30),"29,000"
30,오이,223,다다기계통(100개),02,상품,04,100개,2022-07-01,"67,500",1일전 (06/30),"69,500"
31,오이,223,다다기계통(100개),02,중품,05,100개,2022-07-01,"62,200",1일전 (06/30),"64,200"
32,오이,223,취청(50개),03,상품,04,50개,2022-07-01,"32,500",1일전 (06/30),"33,700"
33,오이,223,취청(50개),03,중품,05,50개,2022-07-01,"28,000",1일전 (06/30),"29,200"
34,호박,224,애호박(20개),01,상품,04,20개,2022-07-01,"32,500",1일전 (06/30),"29,000"
35,호박,224,애호박(20개),01,중품,05,20개,2022-07-01,"30,500",1일전 (06/30),"27,000"
36,호박,224,쥬키니(10kg),02,상품,04,10kg,2022-07-01,"24,500",1일전 (06/30),"25,200"
37,호박,224,쥬키니(10kg),02,중품,05,10kg,2022-07-01,"22,500",1일전 (06/30),"23,200"
38,토마토,225,토마토(5kg),00,상품,04,5kg,2022-07-01,"9,830",1일전 (06/30),"10,800"
39,토마토,225,토마토(5kg),00,중품,05,5kg,2022-07-01,"7,830",1일전 (06/30),"8,830"
40,무,231,봄(20kg),01,상품,04,20kg,2022-07-01,"14,000",1일전 (06/30),"15,400"
41,무,231,봄(20kg),01,중품,05,20kg,2022-07-01,"13,000",1일전 (06/30),"14,400"
42,당근,232,무세척(20kg),01,상품,04,20kg,2022-07-01,"42,300",1일전 (06/30),"42,300"
43,당근,232,무세척(20kg),01,중품,05,20kg,2022-07-01,"40,300",1일전 (06/30),"40,300"
44,당근,232,세척(수입)(10kg),10,중품,05,10kg,2022-07-01,"10,000",1일전 (06/30),"10,000"
45,열무,233,열무(4kg),00,상품,04,4kg,2022-07-01,"12,200",1일전 (06/30),"13,500"
46,열무,233,열무(4kg),00,중품,05,4kg,2022-07-01,"11,200",1일전 (06/30),"12,500"
47,건고추,241,화건(30kg),00,상품,04,30kg,2022-07-01,"600,000",1일전 (06/30),"600,000"
48,건고추,241,화건(30kg),00,중품,05,30kg,2022-07-01,"550,000",1일전 (06/30),"550,000"
49,건고추,241,양건(30kg),02,상품,04,30kg,2022-07-01,"750,000",1일전 (06/30),"750,000"
50,건고추,241,양건(30kg),02,중품,05,30kg,2022-07-01,"700,000",1일전 (06/30),"700,000"
51,풋고추,242,풋고추(10kg),00,상품,04,10kg,2022-07-01,"61,000",1일전 (06/30),"53,700"
52,풋고추,242,풋고추(10kg),00,중품,05,10kg,2022-07-01,"53,000",1일전 (06/30),"45,700"
53,풋고추,242,꽈리고추(4kg),02,상품,04,4kg,2022-07-01,"33,000",1일전 (06/30),"29,700"
54,풋고추,242,꽈리고추(4kg),02,중품,05,4kg,2022-07-01,"28,000",1일전 (06/30),"24,700"
55,풋고추,242,청양고추(10kg),03,상품,04,10kg,2022-07-01,"80,000",1일전 (06/30),"61,700"
56,풋고추,242,청양고추(10kg),03,중품,05,10kg,2022-07-01,"73,500",1일전 (06/30),"55,200"
57,풋고추,242,오이맛고추(10kg),04,상품,04,10kg,2022-07-01,"49,500",1일전 (06/30),"50,000"
58,풋고추,242,오이맛고추(10kg),04,중품,05,10kg,2022-07-01,"47,000",1일전 (06/30),"47,500"
59,붉은고추,243,붉은고추(10kg),00,상품,04,10kg,2022-07-01,"51,200",1일전 (06/30),"51,700"
60,붉은고추,243,붉은고추(10kg),00,중품,05,10kg,2022-07-01,"42,000",1일전 (06/30),"42,500"
61,피마늘,244,난지(대서)(10kg),22,상품,04,10kg,2022-07-01,"60,000",1일전 (06/30),"60,000"
62,피마늘,244,난지(대서)(10kg),22,중품,05,10kg,2022-07-01,"55,000",1일전 (06/30),"55,000"
63,양파,245,양파(15kg),00,상품,04,15kg,2022-07-01,"21,500",1일전 (06/30),"21,500"
64,양파,245,양파(15kg),00,중품,05,15kg,2022-07-01,"20,500",1일전 (06/30),"20,500"
65,파,246,대파(1kg),00,상품,04,1kg,2022-07-01,"1,950",1일전 (06/30),"1,870"
66,파,246,대파(1kg),00,중품,05,1kg,2022-07-01,"1,550",1일전 (06/30),"1,470"
67,파,246,쪽파(1kg),02,상품,04,1kg,2022-07-01,"10,000",1일전 (06/30),"10,000"
68,파,246,쪽파(1kg),02,중품,05,1kg,2022-07-01,"9,500",1일전 (06/30),"9,500"
69,생강,247,국산(10kg),00,상품,04,10kg,2022-07-01,"33,000",1일전 (06/30),"33,000"
70,생강,247,국산(10kg),00,중품,05,10kg,2022-07-01,"23,000",1일전 (06/30),"23,000"
71,생강,247,수입(10kg),01,중품,05,10kg,2022-07-01,"45,000",1일전 (06/30),"45,000"
72,미나리,252,미나리(7.5kg),00,상품,04,7.5kg,2022-07-01,"40,000",1일전 (06/30),"43,300"
73,미나리,252,미나리(7.5kg),00,중품,05,7.5kg,2022-07-01,"30,000",1일전 (06/30),"33,300"
74,깻잎,253,깻잎(2kg),00,상품,04,2kg,2022-07-01,"24,000",1일전 (06/30),"24,700"
75,깻잎,253,깻잎(2kg),00,중품,05,2kg,2022-07-01,"19,700",1일전 (06/30),"20,500"
76,피망,255,청(10kg),00,상품,04,10kg,2022-07-01,"33,000",1일전 (06/30),"32,700"
77,피망,255,청(10kg),00,중품,05,10kg,2022-07-01,"26,000",1일전 (06/30),"25,700"
78,파프리카,256,파프리카(5kg),00,상품,04,5kg,2022-07-01,"13,200",1일전 (06/30),"11,200"
79,파프리카,256,파프리카(5kg),00,중품,05,5kg,2022-07-01,"10,200",1일전 (06/30),"8,250"
80,멜론,257,멜론(8kg),00,상품,04,8kg,2022-07-01,"26,800",1일전 (06/30),"26,800"
81,멜론,257,멜론(8kg),00,중품,05,8kg,2022-07-01,"21,800",1일전 (06/30),"21,800"
82,깐마늘(국산),258,깐마늘(대서)(20kg),03,상품,04,20kg,2022-07-01,"170,000",1일전 (06/30),"170,000"
83,깐마늘(국산),258,깐마늘(대서)(20kg),03,중품,05,20kg,2022-07-01,"160,000",1일전 (06/30),"160,000"
84,깐마늘(국산),258,햇깐마늘(대서)(20kg),04,상품,04,20kg,2022-07-01,"173,000",1일전 (06/30),"173,000"
