,category_code,p_code,p_group,kind_name_new,rank,unit,price
0,AW_A00115,AW_A00115,쌀,쌀(일반계)(20kg),상품,20kg,"44,500"
1,AW_A00116,AW_A00116,쌀,쌀(일반계)(20kg),중품,20kg,"41,000"
2,AW_A00153,AW_A00153,찹쌀,찹쌀(일반계)(40kg),중품,40kg,"97,800"
3,AW_A00198,AW_A00198,콩,흰 콩(국산)(40kg),상품,40kg,"240,000"
4,AW_A00200,AW_A00200,콩,흰 콩(수입)(35kg),중품,35kg,"122,000"
5,AW_A00091,AW_A00091,팥,붉은 팥(국산)(40kg),상품,40kg,"360,000"
6,AW_A00092,AW_A00092,팥,붉은 팥(수입)(40kg),중품,40kg,"266,000"
7,AW_A00033,AW_A00033,녹두,녹두(국산)(40kg),상품,40kg,"736,000"
8,AW_A00034,AW_A00034,녹두,녹두(수입)(40kg),중품,40kg,"216,000"
9,AW_A00056,AW_A00056,메밀,메밀(수입)(1kg),중품,1kg,"4,500"
10,AW_A00021,AW_A00021,고구마,고구마(밤)(10kg),상품,10kg,"32,300"
11,AW_A00022,AW_A00022,고구마,고구마(밤)(10kg),중품,10kg,"26,300"
12,AW_A00008,AW_A00008,감자,감자(수미)(20kg),상품,20kg,"42,300"
13,AW_A00009,AW_A00009,감자,감자(수미)(20kg),중품,20kg,"38,300"
14,AW_A00115,AW_A00115,쌀,쌀(일반계)(20kg),상품,20kg,"44,200"
15,AW_A00116,AW_A00116,쌀,쌀(일반계)(20kg),중품,20kg,"40,800"
16,AW_A00153,AW_A00153,찹쌀,찹쌀(일반계)(40kg),중품,40kg,"97,800"
17,AW_A00198,AW_A00198,콩,흰 콩(국산)(40kg),상품,40kg,"240,000"
18,AW_A00200,AW_A00200,콩,흰 콩(수입)(35kg),중품,35kg,"122,000"
19,AW_A00091,AW_A00091,팥,붉은 팥(국산)(40kg),상품,40kg,"360,000"
20,AW_A00092,AW_A00092,팥,붉은 팥(수입)(40kg),중품,40kg,"266,000"
21,AW_A00033,AW_A00033,녹두,녹두(국산)(40kg),상품,40kg,"736,000"
22,AW_A00034,AW_A00034,녹두,녹두(수입)(40kg),중품,40kg,"216,000"
23,AW_A00056,AW_A00056,메밀,메밀(수입)(1kg),중품,1kg,"4,500"
24,AW_A00021,AW_A00021,고구마,고구마(밤)(10kg),상품,10kg,"32,300"
25,AW_A00022,AW_A00022,고구마,고구마(밤)(10kg),중품,10kg,"26,300"
26,AW_A00008,AW_A00008,감자,감자(수미)(20kg),상품,20kg,"42,300"
27,AW_A00009,AW_A00009,감자,감자(수미)(20kg),중품,20kg,"38,300"
28,AW_A00115,AW_A00115,쌀,쌀(일반계)(20kg),상품,20kg,"44,200"
29,AW_A00116,AW_A00116,쌀,쌀(일반계)(20kg),중품,20kg,"40,800"
30,AW_A00153,AW_A00153,찹쌀,찹쌀(일반계)(40kg),중품,40kg,"97,800"
31,AW_A00198,AW_A00198,콩,흰 콩(국산)(40kg),상품,40kg,"240,000"
32,AW_A00200,AW_A00200,콩,흰 콩(수입)(35kg),중품,35kg,"122,000"
33,AW_A00091,AW_A00091,팥,붉은 팥(국산)(40kg),상품,40kg,"360,000"
34,AW_A00092,AW_A00092,팥,붉은 팥(수입)(40kg),중품,40kg,"266,000"
35,AW_A00033,AW_A00033,녹두,녹두(국산)(40kg),상품,40kg,"736,000"
36,AW_A00034,AW_A00034,녹두,녹두(수입)(40kg),중품,40kg,"216,000"
37,AW_A00056,AW_A00056,메밀,메밀(수입)(1kg),중품,1kg,"4,500"
38,AW_A00021,AW_A00021,고구마,고구마(밤)(10kg),상품,10kg,"32,300"
39,AW_A00022,AW_A00022,고구마,고구마(밤)(10kg),중품,10kg,"26,300"
40,AW_A00008,AW_A00008,감자,감자(수미)(20kg),상품,20kg,"42,300"
41,AW_A00009,AW_A00009,감자,감자(수미)(20kg),중품,20kg,"38,300"
42,AW_A00115,AW_A00115,쌀,쌀(일반계)(20kg),상품,20kg,"44,200"
43,AW_A00116,AW_A00116,쌀,쌀(일반계)(20kg),중품,20kg,"40,800"
44,AW_A00153,AW_A00153,찹쌀,찹쌀(일반계)(40kg),중품,40kg,"97,800"
45,AW_A00198,AW_A00198,콩,흰 콩(국산)(40kg),상품,40kg,"240,000"
46,AW_A00200,AW_A00200,콩,흰 콩(수입)(35kg),중품,35kg,"122,000"
47,AW_A00091,AW_A00091,팥,붉은 팥(국산)(40kg),상품,40kg,"360,000"
48,AW_A00092,AW_A00092,팥,붉은 팥(수입)(40kg),중품,40kg,"266,000"
49,AW_A00033,AW_A00033,녹두,녹두(국산)(40kg),상품,40kg,"736,000"
50,AW_A00034,AW_A00034,녹두,녹두(수입)(40kg),중품,40kg,"216,000"
51,AW_A00056,AW_A00056,메밀,메밀(수입)(1kg),중품,1kg,"4,500"
52,AW_A00021,AW_A00021,고구마,고구마(밤)(10kg),상품,10kg,"32,300"
53,AW_A00022,AW_A00022,고구마,고구마(밤)(10kg),중품,10kg,"26,300"
54,AW_A00008,AW_A00008,감자,감자(수미)(20kg),상품,20kg,"42,300"
55,AW_A00009,AW_A00009,감자,감자(수미)(20kg),중품,20kg,"38,300"
56,AW_A00115,AW_A00115,쌀,쌀(일반계)(20kg),상품,20kg,
57,AW_A00116,AW_A00116,쌀,쌀(일반계)(20kg),중품,20kg,
58,AW_A00153,AW_A00153,찹쌀,찹쌀(일반계)(40kg),중품,40kg,
59,AW_A00198,AW_A00198,콩,흰 콩(국산)(40kg),상품,40kg,
60,AW_A00200,AW_A00200,콩,흰 콩(수입)(35kg),중품,35kg,
61,AW_A00091,AW_A00091,팥,붉은 팥(국산)(40kg),상품,40kg,
62,AW_A00092,AW_A00092,팥,붉은 팥(수입)(40kg),중품,40kg,
63,AW_A00033,AW_A00033,녹두,녹두(국산)(40kg),상품,40kg,
64,AW_A00034,AW_A00034,녹두,녹두(수입)(40kg),중품,40kg,
65,AW_A00056,AW_A00056,메밀,메밀(수입)(1kg),중품,1kg,
66,AW_A00021,AW_A00021,고구마,고구마(밤)(10kg),상품,10kg,
67,AW_A00022,AW_A00022,고구마,고구마(밤)(10kg),중품,10kg,
68,AW_A00008,AW_A00008,감자,감자(수미)(20kg),상품,20kg,
69,AW_A00009,AW_A00009,감자,감자(수미)(20kg),중품,20kg,
70,AW_A00115,AW_A00115,쌀,쌀(일반계)(20kg),상품,20kg,"44,200"
71,AW_A00116,AW_A00116,쌀,쌀(일반계)(20kg),중품,20kg,"40,800"
72,AW_A00153,AW_A00153,찹쌀,찹쌀(일반계)(40kg),중품,40kg,"97,800"
73,AW_A00198,AW_A00198,콩,흰 콩(국산)(40kg),상품,40kg,"240,000"
74,AW_A00200,AW_A00200,콩,흰 콩(수입)(35kg),중품,35kg,"122,000"
75,AW_A00091,AW_A00091,팥,붉은 팥(국산)(40kg),상품,40kg,"360,000"
76,AW_A00092,AW_A00092,팥,붉은 팥(수입)(40kg),중품,40kg,"266,000"
77,AW_A00033,AW_A00033,녹두,녹두(국산)(40kg),상품,40kg,"736,000"
78,AW_A00034,AW_A00034,녹두,녹두(수입)(40kg),중품,40kg,"216,000"
79,AW_A00056,AW_A00056,메밀,메밀(수입)(1kg),중품,1kg,"4,500"
80,AW_A00021,AW_A00021,고구마,고구마(밤)(10kg),상품,10kg,"32,300"
81,AW_A00022,AW_A00022,고구마,고구마(밤)(10kg),중품,10kg,"26,300"
82,AW_A00008,AW_A00008,감자,감자(수미)(20kg),상품,20kg,"42,300"
83,AW_A00009,AW_A00009,감자,감자(수미)(20kg),중품,20kg,"38,300"
84,AW_A00115,AW_A00115,쌀,쌀(일반계)(20kg),상품,20kg,"44,200"
85,AW_A00116,AW_A00116,쌀,쌀(일반계)(20kg),중품,20kg,"40,800"
86,AW_A00153,AW_A00153,찹쌀,찹쌀(일반계)(40kg),중품,40kg,"97,800"
87,AW_A00198,AW_A00198,콩,흰 콩(국산)(40kg),상품,40kg,"240,000"
88,AW_A00200,AW_A00200,콩,흰 콩(수입)(35kg),중품,35kg,"122,000"
